imdb_id,original_title,popularity,release_date,revenue,runtime,Genres
tt0113125,From the Journals of Jean Seberg,0.276401,08-09-1995,0,97,Drama
tt0113149,Gazon maudit,2.518051,08-02-1995,0,95,Drama
tt0113158,Georgia,4.093443,19-05-1995,0,115,Drama
tt0107002,Germinal,2.759302,29-09-1993,0,160,Thriller
tt0107004,Geronimo: An American Legend,4.653462,10-12-1993,18635620,115,Documentry
tt0113161,Get Shorty,12.669608,20-10-1995,115101622,105,Adventure
tt0109891,Getting Even with Dad,2.410545,17-06-1994,0,109,Music
tt0099653,Ghost,11.945397,12-07-1990,505000000,127,Drama
tt0116414,Girl 6,4.405169,22-03-1996,4939939,108,Family
tt0113173,Girl in the Cadillac,0.405392,24-10-1995,0,89,Adventure
tt0109913,Go Fish,0.775898,10-06-1994,0,83,Thriller
tt0113189,GoldenEye,14.686036,16-11-1995,352194034,130,Family
tt0113199,Gordy,0.398924,12-05-1995,3992809,90,Music
tt0113200,Gospa,0.918504,12-10-1995,0,125,Drama
tt0113228,Grumpier Old Men,11.7129,22-12-1995,0,101,Adventure
tt0109950,Guardian Angel,0.595949,22-11-1994,0,93,Music
tt0114952,"Guillaumet, les ailes du courage",0.745542,18-09-1996,0,50,Drama
tt0107057,Guilty as Sin,5.385108,04-06-1993,22886222,107,Drama
tt0113234,Gumby: The Movie,0.090452,01-12-1995,0,77,Thriller
tt0113243,Hackers,14.810519,14-09-1995,7563728,107,Drama
tt0116483,Happy Gilmore,9.592265,16-02-1996,41205099,92,Documentry
tt0107076,Hard Target,7.834351,20-08-1993,74189677,97,Drama
tt0089256,Harem,1.825468,20-11-1985,0,113,Drama
tt0113276,Headless Body in Topless Bar,0.001346,20-05-1995,0,110,Drama
tt0113277,Heat,17.924927,15-12-1995,187436818,170,Drama
tt0107096,Heaven & Earth,4.190541,24-12-1993,0,140,Action
tt0110005,Heavenly Creatures,9.438042,02-09-1994,3049135,99,Drama
tt0082509,Heavy Metal,7.640073,07-08-1981,0,90,Animation
tt0110006,Heavyweights,9.546707,17-02-1995,17689177,100,Fantasy
tt0113283,Heidi Fleiss: Hollywood Madam,0.638211,27-12-1995,0,106,Adventure
tt0116514,Hellraiser: Bloodline,5.263187,08-03-1996,16675000,86,Family
tt0113303,Hideaway,8.182165,03-03-1995,12201255,103,Adventure
tt0113305,Higher Learning,7.817811,11-01-1995,38290723,127,Adventure
tt0110027,Highlander III: The Sorcerer,6.866634,29-11-1994,36800000,99,Music
tt0113319,Homage,0.014925,03-05-1995,0,97,Thriller
tt0099785,Home Alone,0.702543,09-11-1990,476684675,103,Drama
tt0113321,Home for the Holidays,8.416802,02-11-1995,17519169,103,Adventure
tt0116552,Homeward Bound II: Lost in San Francisco,14.657754,08-03-1996,32709423,89,Comedy
tt0110057,Hoop Dreams,9.47666,12-09-1994,7830611,171,Drama
tt0107144,Hot Shots! Part Deux,13.482371,21-05-1993,133752825,86,Adventure
tt0110064,House Party 3,0.996047,01-01-1994,0,100,Comedy
tt0110066,Houseguest,2.688562,06-01-1995,26325256,113,Action
tt0113347,How To Make An American Quilt,4.485958,06-10-1995,23574130,116,Thriller
tt0110091,I Like It Like That,0.289295,14-10-1994,1777020,104,Fantasy
tt0110093,I Love Trouble,3.570874,29-06-1994,61947267,123,Action
tt0110099,I.Q.,5.146352,24-12-1994,0,100,Drama
tt0116606,If Lucy Fell,2.891918,08-03-1996,0,92,Animation
tt0110877,Il postino,10.168437,22-09-1994,0,108,Fantasy
tt0110097,I'll Do Anything,1.742974,04-02-1994,0,115,Animation
tt0110116,Immortal Beloved,7.983666,16-12-1994,0,121,Adventure
tt0110123,In the Army Now,6.071466,12-08-1994,28881266,91,Family
tt0107206,In the Line of Fire,12.637158,08-07-1993,176997168,128,Family
tt0113409,In the Mouth of Madness,8.497643,12-12-1994,8946600,95,Thriller
tt0107207,In the Name of the Father,7.405895,12-12-1993,65796862,133,Drama
tt0110148,Interview with the Vampire,11.970205,11-11-1994,223664608,123,Comedy
tt0110167,It Could Happen to You,11.272073,29-07-1994,0,101,Drama
tt0113442,It Takes Two,7.777735,17-11-1995,0,101,Family
tt0113448,Jack & Sarah,1.523446,02-06-1995,218626,110,Animation
tt0113451,Jade,11.418917,13-10-1995,9851610,95,Music
tt0116684,Jane Eyre,2.420301,09-02-1996,0,112,Drama
tt0110186,Jason's Lyric,0.912909,28-09-1994,20851521,119,Animation
tt0113463,Jefferson in Paris,1.596058,31-03-1995,2474000,139,Comedy
tt0113464,Jeffrey,3.196456,18-08-1995,0,92,Comedy
tt0110197,Jimmy Hollywood,4.563989,30-03-1994,0,112,Adventure
tt0113481,Johnny Mnemonic,11.715868,26-05-1995,19075720,97,Comedy
tt0113492,Judge Dredd,8.184815,30-06-1995,113493481,96,Animation
tt0107286,Judgment Night,5.538671,15-10-1993,12136938,110,Drama
tt0113497,Jumanji,17.015539,15-12-1995,262797249,104,Action
tt0110216,Junior,6.710215,22-11-1994,37000000,109,Family
tt0110217,Jupiter's Wife,0.001178,01-01-1995,0,87,Thriller
tt0107290,Jurassic Park,8.863776,11-06-1993,920100000,127,Adventure
tt0113500,Jury Duty,3.676921,12-04-1995,17014653,88,Family
tt0110251,Keiner liebt mich,1.015068,07-11-1994,0,104,Music
tt0113537,Kicking and Screaming,3.367276,06-10-1995,718490,96,Thriller
tt0113540,Kids,4.877872,28-07-1995,7412216,91,Family
tt0113541,Kids of the Round Table,0.307075,08-07-1997,0,89,Action
tt0107315,Kika,3.647321,28-10-1993,0,117,Documentry
tt0110259,Killer,0.422224,14-09-1994,0,97,Drama
tt0110265,Killing Zoe,4.948569,01-10-1993,418961,96,Thriller
tt0107322,King of the Hill,4.375347,20-08-1993,0,103,Documentry
tt0113552,Kiss of Death,7.797512,21-04-1995,0,101,Drama
tt0113083,La flor de mi secreto,2.286788,22-09-1995,0,107,Drama
tt0113247,La Haine,12.108196,31-05-1995,0,98,Adventure
tt0110963,La Reine Margot,4.405405,13-05-1994,0,162,Action
tt0114671,Land and Freedom,6.144235,01-01-1995,0,109,Adventure
tt0110305,Lassie,3.645342,22-07-1994,0,94,Adventure
tt0107362,Last Action Hero,9.434006,18-06-1993,137298489,130,Documentry
tt0113612,Last Summer in the Hamptons,0.531159,22-11-1995,0,108,Adventure
tt0116839,Lawnmower Man 2: Beyond Cyberspace,2.49535,12-01-1996,2409225,92,Drama
tt0112556,Le Bonheur est dans le pré,1.254885,31-01-1995,0,106,Drama
tt0109454,Le colonel Chabert,0.934312,01-01-1994,0,110,Comedy
tt0112714,Le confessionnal,0.120789,29-09-1995,0,100,Action
tt0113627,Leaving Las Vegas,10.332025,27-10-1995,49800000,112,Thriller
tt0110322,Legends of the Fall,12.199047,16-12-1994,160638883,133,Documentry
tt0113749,Mallrats,8.25547,20-10-1995,2122561,94,Drama
tt0113755,Man of the House,2.558118,03-03-1995,0,96,Drama
tt0113756,Man of the Year,0.540436,15-09-1995,209935,86,Drama
tt0107507,Manhattan Murder Mystery,8.939404,18-08-1993,11285588,104,Action
tt0113774,Margaret's Museum,0.372697,13-09-1995,0,114,Action
tt0111804,Martin Lawrence: You So Crazy,0.394194,27-04-1994,0,84,Action
tt0117002,Mary Reilly,12.866139,23-02-1996,12379402,104,Family
tt0110478,Maverick,15.050326,20-05-1994,0,127,Drama
tt0107554,Menace II Society,5.260924,26-05-1993,27900000,97,Adventure
tt0107566,Mi Vida Loca,1.788829,08-06-1994,0,92,Music
tt0113808,Miami Rhapsody,1.137266,27-01-1995,5,95,Action
tt0113819,Mighty Aphrodite,15.899134,13-09-1995,6700000,95,Thriller
tt0113820,Mighty Morphin Power Rangers: The Movie,7.024227,30-06-1995,66000000,92,Adventure
tt0110516,Milk Money,3.770115,31-08-1994,18137661,108,Adventure
tt0110527,Miracle on 34th Street,5.831622,18-11-1994,46264384,114,Fantasy
tt0113827,Mirage,0.302957,21-11-1995,0,92,Thriller
tt0110538,Mixed Nuts,2.899608,21-12-1994,0,97,Action
tt0113845,Money Train,7.337906,21-11-1995,35431113,103,Documentry
tt0113851,Moonlight and Valentino,1.01115,29-09-1995,0,100,Thriller
tt0113855,Mortal Kombat,10.870138,18-08-1995,122195920,101,Adventure
tt0113862,Mr. Holland's Opus,7.137117,29-12-1995,106269971,137,Comedy
tt0107611,Mr. Jones,6.579753,08-10-1993,0,114,Comedy
tt0107613,Mr. Wonderful,13.011091,15-10-1993,0,98,Animation
tt0117102,Mr. Wrong,3.329264,16-02-1996,0,96,Documentry
tt0107614,Mrs. Doubtfire,11.16553,24-11-1993,441286195,125,Family
tt0110588,Mrs. Parker and the Vicious Circle,4.739054,07-09-1994,0,125,Drama
tt0107616,Much Ado About Nothing,8.62724,07-05-1993,0,111,Comedy
tt0117110,Muppet Treasure Island,6.902423,16-02-1996,34327391,100,Thriller
tt0113870,Murder in the First,9.518564,20-01-1995,17381942,122,Comedy
